paymill_Amount,Betrag
paymill_accepted_currency,"Akzeptierte Währungen"
paymill_opt_Enabled,Aktivieren
paymill_opt_Countries,"Erlaubte Länder"
paymill_Activate_Debugging,"Debugging aktivieren"
paymill_fc_active,"Fast Checkout erlauben"
paymill_Activate_Logging,"Logging aktivieren"
paymill_preAuth_active,"Kreditkarten Transaktionen im Checkout autorisieren, Buchung bei Rechnungsgenerierung durchführen."
paymill_private_key_comment,"Ihren Private Key können Sie dem PAYMILL Cockpit entnehmen."
paymill_Private_Key,"Private Key"
paymill_public_key_comment,"Ihren Public Key können Sie dem PAYMILL Cockpit entnehmen."
paymill_Public_Key,"Public Key"
paymill_Show_Label,"PAYMILL Label im Checkout anzeigen"
paymill_opt_Sort,Reihenfolge
paymill_token_tolerace_tooltip,"Wert der bei Generierung des PAYMILL Tokens aufgeschlagen wird, um 3-D Secure Abweichungen zu vermeiden."
paymill_token_tolerace_comment,"Wert der bei Generierung des PAYMILL Tokens aufgeschlagen wird, um 3-D Secure Abweichungen zu vermeiden."
paymill_token_tolerace,"Token Toleranz Wert"
paymill_Currency,Währung
paymill_error_text_invalid_cvc,"Ungültige CVC"
PAYMILL_field_invalid_card_cvc,"Ungültige CVC"
paymill_error_text_invalid_holder_cc,"Bitte geben Sie einen Inhabernamen an."
PAYMILL_field_invalid_card_holder,"Bitte geben Sie einen Inhabernamen an."
paymill_error_text_invalid_number_cc,"Bitte geben Sie eine gültige Kreditkartennummer ein."
PAYMILL_field_invalid_card_number,"Bitte geben Sie eine gültige Kreditkartennummer ein."
paymill_error_text_invalid_expdate,"Ungültiges Ablaufdatum"
PAYMILL_field_invalid_bank_code,"Bitte geben Sie eine gültige Bankleitzahl an"
paymill_error_text_invalid_bankcode,"Bitte geben Sie eine gültige Bankleitzahl an"
paymill_error_text_invalid_holder_elv,"Bitte geben Sie den Namen des Kontoinhabers an"
PAYMILL_field_invalid_account_holder,"Bitte geben Sie den Namen des Kontoinhabers an"
paymill_error_text_invalid_number_elv,"Bitte geben Sie eine gültige Kontonummer ein"
