"Credit Card Number","Kreditkartennummer"
"Card Verification Number","Kreditkarten-Prüfnummer"
"Expiration Date","Gültigkeitsdatum"
"Please enter your credit card number","Bitte gib deine Kreditkartennummer ein."
"Your credit card number is invalid","Deine Kreditkartennummer ist ungültig."
"Please enter your credit cards expiration date","Bitte gib das Gültigkeitsdatum deiner Kreditkarte ein."
"The expiration date is invalid","Das Gültigkeitsdatum ist ungültig."
"Please enter your credit card verification number","Bitte gib die Kartenprüfnummer deiner Kreditkarte ein."
"The verification number is invalid","Die Kartenprüfnummer ist ungültig."
"Your payment was not processed. Your credit card details are invalid.","Die Zahlung konnte nicht ausgeführt werden. Die Kreditkarteninformation sind nicht gültig."
"Your payment was not processed. Please try again later. Error:", "Die Zahlung konnte nicht ausgeführt werden, bitte versuche es später erneut. Fehler:"
"Minimum order amount","Mindest-Bestellbetrag"
"Private Paymill API Key","Geheimer Paymill API-Key"
"Paymill debug mode","Debug Modus"
"Public Paymill API Key","Öffentlicher Paymill API-Key"
"Paymill bridge URL","Paymill Bridge URL"
"Paymill API Endpoint","Paymill API URL"
"Paymill capture point","Zahlung ausführen bei"
"New order status","Staus neuer Bestellungen"
"Credit Card Holder","Karteninhaber"
"Credit Card Holder is missing","Bitte geben Sie den Karteninhaber an"
