paymill_Amount,Cantidad
paymill_accepted_currency,"Monedas aceptadas"
paymill_opt_Enabled,Activar
paymill_opt_Countries,"Países aceptados"
paymill_Activate_Debugging,"Activar debugging"
paymill_fc_active,"Activar la compra rápida"
paymill_Activate_Logging,"Activar el registro"
paymill_preAuth_active,"Autorizar previamente las transacciones durante el proceso de compra. Los cargos se llevarán a cabo una vez generadas las facturas."
paymill_private_key_comment,"Puedes encontrar tu clave privada en el Cockpit de PAYMILL"
paymill_Private_Key,"Clave privada"
paymill_public_key_comment,"Puede encontrar su clave pública en el Cockpit de PAYMILL"
paymill_Public_Key,"Clave pública"
paymill_Show_Label,"Mostrar el logo de PAYMILL durante el proceso de compra."
paymill_opt_Sort,Secuencia
paymill_token_tolerace_tooltip,"Cantidad adicional que se cargará cuando se genere el Token de PAYMILL. Esto es para evitar desviaciones en el 3D Secure"
paymill_token_tolerace_comment,"Cantidad adicional que se cargará cuando se genere el Token de PAYMILL. Esto es para evitar desviaciones en el 3D Secure"
paymill_token_tolerace,"Tolerancia del Token"
paymill_Currency,Moneda
paymill_error_text_invalid_cvc,"CVC inválido"
PAYMILL_field_invalid_card_cvc,"CVC inválido"
paymill_error_text_invalid_holder_cc,"Por favor, introduce el nombre del titular de la tarjeta"
PAYMILL_field_invalid_card_holder,"Por favor, introduce el nombre del titular de la tarjeta"
paymill_error_text_invalid_number_cc,"Por favor, introduce un número válido de tarjeta de crédito."
PAYMILL_field_invalid_card_number,"Por favor, introduce un número válido de tarjeta de crédito."
paymill_error_text_invalid_expdate,"Fecha de expiración inválida"
PAYMILL_field_invalid_bank_code,"Por favor, introduce un código bancario válido de domiciliación bancaria."
paymill_error_text_invalid_bankcode,"Por favor, introduce un código bancario válido de domiciliación bancaria."
paymill_error_text_invalid_holder_elv,"Por favor, introduce el nombre del titular de la cuenta para la domiciliación bancaria."
PAYMILL_field_invalid_account_holder,"Por favor, introduce el nombre del titular de la cuenta para la domiciliación bancaria."
